"Sample","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","SlideName","ScanLabel","ROILabel.x","SegmentLabel","Origin.Instrument.ID","CD31.CD34.","PanCK.","INS.","Other","PanCK..1","CD31.Islet","CD31..CD34.","PsnCK.","QCFlags","AOISurfaceArea","AOINucleiCount","ROICoordinateX","ROICoordinateY","RawReads","AlignedReads","DeduplicatedReads","TrimmedReads","StitchedReads","SequencingSaturation","SequencingSetID","UMIQ30","RTSQ30","GeoMxNgsPipelineVersion","LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0","organ_region","organ","ROI_type","AOI_target","Case","ROIID","SegmentID","ScanWidth","ScanHeight","ScanOffsetX","ScanOffsetY","ROIComments","sample_id","Slide","PancreasSection","ROILabel.y","Segment.Label","AOI.Nuclei.INS.Count","ROICoordinateX..pixels.","ROICoordinateY..pixels.","ROICoordinateX..µm.","ROICoordinateY..µm.","Main.Pancreatic.Duct.X..µm.","Main.Pancreatic.Duct.Y..µm.","Distance_from_Main_Duct"
"P1-14A WTA 12-15-21 | 003 | PanCK-",0,0.026,0,0.281,0,0,0,0.11,0.012,0,0,0.138,0.08,0,0.04,0,0.206,0,0,0.057,0.049,0,0.85,0.003,1.10475786638292,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","007","Other","2204G0420","False","False","False","True","False","False","False","False",NA,207008.968837,1651,12888.892578125,46609.23828125,24617340,23088441,6409779,23962732,23962732,72.2381472183419,"LH00339:67:2232MVLT1",99.62,99.58,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","acinar_and_other","P4","4a808bcd-5588-4d3c-9922-e697616af7db","4b173388-ca18-4b59-acbf-df91e0210f8a",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","007","INS+",89,12888.89,46609.24,5140.09,18559.8,4022.1,14545.1,4167.5
"P1-14A WTA 12-15-21 | 006 | PanCK-",0.053,0,0.041,0.185,0,0.044,0,0.144,0,0,0,0.074,0.163,0.065,0.059,0,0.047,0,0.096,0,0.029,0,0.92,-0.01,1.08818269128039,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","008","Other","2204G0420","False","False","False","True","False","False","False","False",NA,207638.281133,1664,10135.181640625,50812.06640625,29170392,27475165,6132270,28517691,28517691,77.680679988637,"LH00339:67:2232MVLT1",99.61,99.62,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","acinar_and_other","P4","f706cfec-f5dc-4277-af38-349be82a81fe","c294615b-0c43-4e23-9b6c-9b490bae38fa",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","008","INS+",86,10135.18,50812.07,4041.91,20233.36,4022.1,14545.1,5688.3
"P1-14A WTA 12-15-21 | 010 | PanCK-",0.049,0.013,0,0,0.038,0,0,0.135,0,0,0.069,0.048,0.265,0,0.011,0,0.099,0,0,0.18,0.093,0,0.07,0.131,1.03138970820816,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","009","Other","2204G0420","False","False","False","True","False","False","False","False",NA,138072.515145,1205,15823.0458984375,51560.26171875,19535622,18320067,4044739,19030103,19030103,77.9218110938131,"LH00339:67:2232MVLT1",99.62,99.61,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","acinar_and_other","P4","39579d92-4b04-4453-91b1-48c6aa68d321","5c9cff26-fb8f-4af7-88fe-73c6c62db211",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 011 | PanCK-",0,0.061,0.036,0.231,0,0,0,0.044,0,0,0,0.104,0.196,0,0.001,0,0.014,0,0,0.261,0.054,0,0.64,0.032,1.08872830879167,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","010","Other","2204G0420","False","False","False","True","False","False","False","False",NA,145077.524812,1267,11574.0771484375,25816.373046875,22231775,20882133,5643332,21678873,21678873,72.9753086047292,"LH00339:67:2232MVLT1",99.59,99.57,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","acinar_and_other","P4","93e96ffa-55c2-4d6a-b536-c60c93014895","bd4aaa66-76bb-461a-bf6b-050a196466f3",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 012 | PanCK-",0,0.051,0,0.145,0,0,0.054,0.082,0,0,0,0.106,0.27,0,0.01,0,0.061,0.039,0,0.135,0.047,0,0.6,0.037,1.0687239434517,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","011","Other","2204G0420","False","False","False","True","False","False","False","False",NA,144312.758721,1262,7827.005859375,37262.046875,25748332,24192365,6014664,25112024,25112024,75.1381727251552,"LH00339:67:2232MVLT1",99.56,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","acinar_and_other","P4","945dd8cc-bea3-41a5-a8ae-9529bc82fc29","a5675f5d-0306-4be5-a7ea-7cacfbec7f1f",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 013 | PanCK-",0,0,0.06,0.201,0.051,0,0.056,0,0.108,0,0,0.1,0.231,0,0.004,0,0.029,0.025,0,0.074,0.06,0,0.87,-0.002,1.09368082147113,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","012","Other","2204G0420","False","False","False","True","False","False","False","False",NA,134988.360865,1091,18208.591796875,17674.841796875,21552948,20203574,4724769,20993378,20993378,76.6141921226413,"LH00339:67:2232MVLT1",99.6,99.57,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","acinar_and_other","P4","f9a09628-5091-43e5-8495-84e024518693","44090529-60eb-430a-9eb7-99b2d1363fdd",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 014 | PanCK-",0,0.027,0,0.213,0.002,0,0.091,0.08,0,0,0,0.194,0.065,0,0.058,0.043,0.071,0,0.005,0.093,0.036,0.023,0.61,0.036,1.09296469211607,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","013","Other","2204G0420","False","False","False","True","False","False","False","False",NA,131988.210169,1123,14899.44921875,11102.9287109375,20048699,18819513,3557018,19553067,19553067,81.0993089991223,"LH00339:67:2232MVLT1",99.62,99.58,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","acinar_and_other","P4","be52a60b-3882-491e-9c80-76e6c71b3bfc","3fa8db07-6a48-4b52-b532-bec2bf119e90",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-21 WTA 12-15-21 | 002 | PanCK-",0,0,0.049,0.364,0.056,0,0.039,0.037,0,0,0,0.114,0.13,0,0.059,0,0.067,0,0,0.059,0,0.025,0.79,0.019,1.11052385210413,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","002","Other","2204G0420","False","False","False","True","False","False","False","False",NA,176794.673972,1340,15048.904296875,15623.3955078125,24874236,23386061,5418024,24286005,24286005,76.83225062998,"LH00339:67:2232MVLT1",99.6,99.57,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","acinar_and_other","P4","23be2988-aa1b-481b-a6e4-1f2a18dcaab9","bfb3b1d2-92a1-454b-8ed6-84be587a458c",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","002","INS+",99,15048.9,15623.4,6001.5,6221.24,4022.1,14545.1,8556
"P1-21 WTA 12-15-21 | 006 | PanCK-",0.015,0,0,0.152,0,0.145,0,0.192,0,0,0,0.151,0.091,0,0.031,0.045,0.115,0,0,0.051,0.012,0,0.72,0.025,1.10593622225247,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","003","Other","2204G0420","False","False","False","True","False","False","False","False",NA,187579.368541,1469,15570.3916015625,33649.9921875,28881801,27103160,6669425,28138686,28138686,75.3924450137918,"LH00339:67:2232MVLT1",99.62,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","acinar_and_other","P4","2cab0dcc-6ab8-4159-96b9-56497e7f8950","61548012-ec87-44ba-a838-8b0cf18354be",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","003","INS+",83,15570.39,33649.99,6209.47,13399.43,4022.1,14545.1,2469.2
"P1-21 WTA 12-15-21 | 011 | CD31-Islet",0.077,0,0,0.067,0.136,0,0.048,0.063,0,0,0.167,0,0.062,0,0,0,0.128,0.046,0,0.198,0,0.009,0.31,0.075,1.05817773291212,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","004","Other","2204G0420","False","False","False","True","False","False","False","False",NA,175781.549458,1411,20407.23046875,15520.7353515625,19282482,18071732,4640258,18793168,18793168,74.3231141320599,"LH00339:67:2232MVLT1",99.6,99.55,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","acinar_and_other","P4","d1bb7289-848e-4f20-827e-b7c6249da29b","37d74ba8-8296-4235-ae3b-e3ac9ef70738",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","004","INS+",93,20407.23,15520.74,8138.4,6180.36,4022.1,14545.1,9322.7
