"Sample","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","SlideName","ScanLabel","ROILabel.x","SegmentLabel","Origin.Instrument.ID","CD31.CD34.","PanCK.","INS.","Other","PanCK..1","CD31.Islet","CD31..CD34.","PsnCK.","QCFlags","AOISurfaceArea","AOINucleiCount","ROICoordinateX","ROICoordinateY","RawReads","AlignedReads","DeduplicatedReads","TrimmedReads","StitchedReads","SequencingSaturation","SequencingSetID","UMIQ30","RTSQ30","GeoMxNgsPipelineVersion","LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0","organ_region","organ","ROI_type","AOI_target","Case","ROIID","SegmentID","ScanWidth","ScanHeight","ScanOffsetX","ScanOffsetY","ROIComments","sample_id","Slide","PancreasSection","ROILabel.y","Segment.Label","AOI.Nuclei.INS.Count","ROICoordinateX..pixels.","ROICoordinateY..pixels.","ROICoordinateX..µm.","ROICoordinateY..µm.","Main.Pancreatic.Duct.X..µm.","Main.Pancreatic.Duct.Y..µm.","Distance_from_Main_Duct"
"P1-14A WTA 12-15-21 | 002 | PanCK-",0.089,0,0,0.126,0,0,0.012,0.208,0,0,0,0.109,0.023,0,0.002,0,0.125,0.099,0.195,0,0,0.012,0.12,0.109,1.046614895471,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","007","CD31+CD34+","2204G0420","True","False","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",8436.246539,106,12888.892578125,46609.23828125,1361301,1280261,356529,1328304,1328304,72.1518502867775,"LH00339:67:2232MVLT1",99.63,99.61,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","endothelial_cells","P4","4a808bcd-5588-4d3c-9922-e697616af7db","d38d9446-f534-425e-bd7f-9a97e247683a",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","007","INS+",89,12888.89,46609.24,5140.09,18559.8,4022.1,14545.1,4167.5
"P1-14A WTA 12-15-21 | 004 | PanCK-",0,0,0.048,0.337,0,0,0,0.056,0,0,0,0.1,0.047,0,0.056,0,0.141,0,0.116,0,0.064,0.034,0.79,0.002,1.09732467909299,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","008","CD31+CD34+","2204G0420","True","False","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",8257.441178,100,10135.181640625,50812.06640625,1435167,1345893,322707,1398808,1398808,76.0228339102737,"LH00339:67:2232MVLT1",99.61,99.56,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","endothelial_cells","P4","f706cfec-f5dc-4277-af38-349be82a81fe","74ee870b-0be4-4c84-a2cc-89ee4046fdf2",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","008","INS+",86,10135.18,50812.07,4041.91,20233.36,4022.1,14545.1,5688.3
"P1-14A WTA 12-15-21 | 008 | PanCK-",0.089,0,0,0.304,0,0,0,0.107,0,0,0,0.149,0.182,0.026,0.015,0.005,0.069,0.033,0.02,0,0,0,0.59,0.033,1.1021831472372,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","009","CD31+CD34+","2204G0420","True","False","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",10048.98832,139,15823.0458984375,51560.26171875,2111637,1986036,439374,2060924,2060924,77.8768360694368,"LH00339:67:2232MVLT1",99.62,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","endothelial_cells","P4","39579d92-4b04-4453-91b1-48c6aa68d321","814c1227-2d90-43ff-9a66-7b1e57ee626c",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 011 | CD31-Islet",0.038,0,0.024,0.279,0,0,0.001,0.034,0,0,0,0.157,0.093,0,0.002,0.005,0.075,0,0,0.286,0.007,0,0.95,-0.025,1.13320949282782,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","010","CD31+CD34+","2204G0420","True","False","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",7781.367935,94,11574.0771484375,25816.373046875,2374042,2231651,485511,2316884,2316884,78.2443132909223,"LH00339:67:2232MVLT1",99.62,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","endothelial_cells","P4","93e96ffa-55c2-4d6a-b536-c60c93014895","d3a4c5a7-0396-4f0e-a1fe-2595d754ea85",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 012 | CD31-Islet",0,0.138,0,0.123,0,0.152,0,0.061,0,0,0,0,0.157,0,0.048,0,0.031,0.001,0,0.289,0,0,0.94,-0.022,1.10791081512759,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","011","CD31+CD34+","2204G0420","True","False","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",7872.834976,97,7827.005859375,37262.046875,2184324,2053258,429910,2132575,2132575,79.0620564975274,"LH00339:67:2232MVLT1",99.59,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","endothelial_cells","P4","945dd8cc-bea3-41a5-a8ae-9529bc82fc29","fd32e1af-c054-46b3-947e-ecbbe473c489",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 013 | CD31-Islet",0,0,0.001,0,0.209,0,0,0.066,0,0.045,0,0.154,0.076,0.049,0.064,0.108,0.089,0,0.139,0,0,0,0.47,0.042,1.06974388904419,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","012","CD31+CD34+","2204G0420","True","False","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",8701.119845,101,18208.591796875,17674.841796875,2159458,2028013,440733,2105945,2105945,78.2677428596365,"LH00339:67:2232MVLT1",99.62,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","endothelial_cells","P4","f9a09628-5091-43e5-8495-84e024518693","be735b56-dd84-4f49-922f-b58151370661",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 014 | CD31-Islet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","013","CD31+CD34+","2204G0420","True","False","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",8941.856014,91,14899.44921875,11102.9287109375,1829041,1719421,325703,1783932,1783932,81.0574024628058,"LH00339:67:2232MVLT1",99.56,99.58,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","endothelial_cells","P4","be52a60b-3882-491e-9c80-76e6c71b3bfc","024c8e68-50d2-4964-ae35-39d47ebfaa73",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-21 WTA 12-15-21 | 001 | PanCK-",0.228,0,0.062,0.219,0,0,0,0.012,0.003,0,0,0.101,0.046,0.062,0.014,0.136,0.039,0,0,0.049,0.028,0,0.59,0.032,1.08584957250741,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","001","CD31+CD34+","2204G0420","True","False","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",12289.295631,120,13154.2333984375,26340.54296875,1941100,1826458,469957,1896025,1896025,74.2694877188526,"LH00339:67:2232MVLT1",99.58,99.58,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","endothelial_cells","P4","095150d1-2d4f-41ae-a81b-4b6b5dfc988d","ae731e05-df3b-4b67-8445-adf6985950b5",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","001","INS+",120,13154.23,26340.54,5245.91,10488.8,4022.1,14545.1,4236.9
"P1-21 WTA 12-15-21 | 004 | PanCK-",0,0.064,0,0.314,0,0,0,0.104,0,0,0.114,0.066,0.075,0.025,0,0,0.209,0.022,0.007,0,0,0,0.55,0.037,1.10812011976691,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","002","CD31+CD34+","2204G0420","True","False","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",11383.200258,116,15048.904296875,15623.3955078125,1870989,1758540,436683,1825732,1825732,75.1678665256406,"LH00339:67:2232MVLT1",99.62,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","endothelial_cells","P4","23be2988-aa1b-481b-a6e4-1f2a18dcaab9","6fa02da9-1033-4f1a-9f63-1c8e3af16ac9",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","002","INS+",99,15048.9,15623.4,6001.5,6221.24,4022.1,14545.1,8556
"P1-21 WTA 12-15-21 | 007 | PanCK-",0,0.067,0.017,0.37,0,0.036,0,0,0.121,0,0.006,0.088,0.097,0,0.054,0,0.046,0,0.001,0.092,0,0.004,0.44,0.048,1.10567856845534,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","003","CD31+CD34+","2204G0420","True","False","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",10338.475152,95,15570.3916015625,33649.9921875,2007603,1888057,511585,1960763,1960763,72.9041549063402,"LH00339:67:2232MVLT1",99.59,99.58,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","endothelial_cells","P4","2cab0dcc-6ab8-4159-96b9-56497e7f8950","ef66da4f-770b-46d3-98a9-9f35ad7f7f10",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","003","INS+",83,15570.39,33649.99,6209.47,13399.43,4022.1,14545.1,2469.2
