"","SlideName","ScanLabel","ROILabel","SegmentLabel","SegmentDisplayName","Origin.Instrument.ID","CD31.","INS.","PanCK.","Others","QCFlags","AOISurfaceArea","AOINucleiCount","ROICoordinateX","ROICoordinateY","RawReads","AlignedReads","DeduplicatedReads","TrimmedReads","StitchedReads","SequencingSaturation","SequencingSetID","UMIQ30","RTSQ30","GeoMxNgsPipelineVersion","LOT_Human_Procode_NGS_IPA_Protein_1_1","Block_ID","Segment_name","Project","ROI_type","Donor","Segment_type","Anatomical_region","Donor_type","LOT_Human_Procode_NGS_Core_Protein_1_0","ROIID","SegmentID","ScanWidth","ScanHeight","ScanOffsetX","ScanOffsetY"
"1","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24",1,"CD31+","65056512_InsSyto83PanCKCD31_71024_001_CD31","2204G0420","True","False","False","False",NA,6622.785419,82,25130,74487,1767932,1656538,239106,1757255,1739025,85.5659212164164,"LH00339:87:22N2M2LT3",0.9914,0.9905,"""GeoMx_NGS_Pipeline_3.1.1.5""",612044,"6505_PT_02","endothelial_cells","nPOD","islet_present","6505","vasculature","Tail","mAAb",6210006,"e90a5544-fe60-4390-8680-cc715ca1003f","d7c28b84-9fe4-4d63-9171-be98b8486076",35773.62109375,77806.765625,6689,2056
"2","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24",1,"Ins+","65056512_InsSyto83PanCKCD31_71024_001_Ins","2204G0420","False","True","False","False",NA,43875.119716,346,25130,74487,19517753,18140479,2324219,19367746,19099480,87.1876646697146,"LH00339:87:22N2M2LT3",0.9895,0.9885,"""GeoMx_NGS_Pipeline_3.1.1.5""",612044,"6505_PT_02","beta_cells","nPOD","islet_present","6505","endocrine_cells","Tail","mAAb",6210006,"e90a5544-fe60-4390-8680-cc715ca1003f","0aafb8e3-d279-482c-8468-fc445fa947ab",35773.62109375,77806.765625,6689,2056
"3","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24",1,"PanCK+","65056512_InsSyto83PanCKCD31_71024_001_PanCK","2204G0420","False","False","True","False",NA,20373.648138,171,25130,74487,3291494,3070908,585289,3273337,3237551,80.9408487652512,"LH00339:87:22N2M2LT3",0.9912,0.9912,"""GeoMx_NGS_Pipeline_3.1.1.5""",612044,"6505_PT_02","duct_cells","nPOD","islet_present","6505","pancreatic_ducts","Tail","mAAb",6210006,"e90a5544-fe60-4390-8680-cc715ca1003f","8f048890-0479-4cdf-87b3-ce51046a53bd",35773.62109375,77806.765625,6689,2056
"4","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24",1,"Others","65056512_InsSyto83PanCKCD31_71024_001_Others","2204G0420","False","False","False","True",NA,100426.99961,1000,25130,74487,14657820,13521176,1738661,14513128,14312624,87.1411998482972,"LH00339:87:22N2M2LT3",0.9877,0.9871,"""GeoMx_NGS_Pipeline_3.1.1.5""",612044,"6505_PT_02","acinar_and_other","nPOD","islet_present","6505","exocrine_and_other","Tail","mAAb",6210006,"e90a5544-fe60-4390-8680-cc715ca1003f","bfed0332-47f9-496b-a1fe-41a46fd6bc3f",35773.62109375,77806.765625,6689,2056
"5","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24",2,"CD31+","65056512_InsSyto83PanCKCD31_71024_002_CD31","2204G0420","True","False","False","False",NA,5517.87627,90,35512,63189,1425429,1329250,164958,1412278,1393775,87.5901448185067,"LH00339:87:22N2M2LT3",0.9883,0.989,"""GeoMx_NGS_Pipeline_3.1.1.5""",612044,"6505_PT_02","endothelial_cells","nPOD","islet_present","6505","vasculature","Tail","mAAb",6210006,"a66cbf44-9b25-4fc8-bbe2-0772bddfe49b","c243acd8-a909-4e8d-9f73-7d00aa069f78",35773.62109375,77806.765625,6689,2056
"6","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24",2,"Ins+","65056512_InsSyto83PanCKCD31_71024_002_Ins","2204G0420","False","True","False","False",NA,35531.134202,275,35512,63189,9380608,8782514,1651706,9315254,9216392,81.1932437568559,"LH00339:87:22N2M2LT3",0.9922,0.9918,"""GeoMx_NGS_Pipeline_3.1.1.5""",612044,"6505_PT_02","beta_cells","nPOD","islet_present","6505","endocrine_cells","Tail","mAAb",6210006,"a66cbf44-9b25-4fc8-bbe2-0772bddfe49b","e74ccd37-e604-4ac7-9ca9-533082859629",35773.62109375,77806.765625,6689,2056
"7","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24",2,"PanCK+","65056512_InsSyto83PanCKCD31_71024_002_PanCK","2204G0420","False","False","True","False",NA,30351.177832,275,35512,63189,8532682,7944552,968774,8457721,8348607,87.8058070486542,"LH00339:87:22N2M2LT3",0.9873,0.9887,"""GeoMx_NGS_Pipeline_3.1.1.5""",612044,"6505_PT_02","duct_cells","nPOD","islet_present","6505","pancreatic_ducts","Tail","mAAb",6210006,"a66cbf44-9b25-4fc8-bbe2-0772bddfe49b","69e7f5a1-5937-4938-aa32-cee6cd15f868",35773.62109375,77806.765625,6689,2056
"8","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24",2,"Others","65056512_InsSyto83PanCKCD31_71024_002_Others","2204G0420","False","False","False","True",NA,86891.147956,1028,35512,63189,10572478,9812038,1202517,10499169,10386933,87.7444726569547,"LH00339:87:22N2M2LT3",0.9921,0.9913,"""GeoMx_NGS_Pipeline_3.1.1.5""",612044,"6505_PT_02","acinar_and_other","nPOD","islet_present","6505","exocrine_and_other","Tail","mAAb",6210006,"a66cbf44-9b25-4fc8-bbe2-0772bddfe49b","676a4f50-4c79-4b2d-b4c7-9484b09d67ca",35773.62109375,77806.765625,6689,2056
"9","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24",3,"CD31+","65056512_InsSyto83PanCKCD31_71024_003_CD31","2204G0420","True","False","False","False",NA,6832.556184,95,11559,59960,1181774,1102460,177209,1170672,1150600,83.9260381329028,"LH00339:87:22N2M2LT3",0.9881,0.9881,"""GeoMx_NGS_Pipeline_3.1.1.5""",612044,"6505_PT_02","endothelial_cells","nPOD","islet_present","6505","vasculature","Tail","mAAb",6210006,"e2b6c15f-7c19-462b-a760-a65ce7f2e355","8d570f4c-8c7f-453a-88cc-ae80a2ad2a98",35773.62109375,77806.765625,6689,2056
"10","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24","6505/6512 Ins/Syto83/PanCK/CD31 7-10-24",3,"Ins+","65056512_InsSyto83PanCKCD31_71024_003_Ins","2204G0420","False","True","False","False",NA,22029.582688,190,11559,59960,11742936,10954621,1284224,11638502,11500230,88.2768742067845,"LH00339:87:22N2M2LT3",0.9887,0.9886,"""GeoMx_NGS_Pipeline_3.1.1.5""",612044,"6505_PT_02","beta_cells","nPOD","islet_present","6505","endocrine_cells","Tail","mAAb",6210006,"e2b6c15f-7c19-462b-a760-a65ce7f2e355","4963695b-9a7b-4b8b-ae73-d144ceed13fb",35773.62109375,77806.765625,6689,2056
