"Sample","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","SlideName","ScanLabel","ROILabel.x","SegmentLabel","Origin.Instrument.ID","CD31.CD34.","PanCK.","INS.","Other","PanCK..1","CD31.Islet","CD31..CD34.","PsnCK.","QCFlags","AOISurfaceArea","AOINucleiCount","ROICoordinateX","ROICoordinateY","RawReads","AlignedReads","DeduplicatedReads","TrimmedReads","StitchedReads","SequencingSaturation","SequencingSetID","UMIQ30","RTSQ30","GeoMxNgsPipelineVersion","LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0","organ_region","organ","ROI_type","AOI_target","Case","ROIID","SegmentID","ScanWidth","ScanHeight","ScanOffsetX","ScanOffsetY","ROIComments","sample_id","Slide","PancreasSection","ROILabel.y","Segment.Label","AOI.Nuclei.INS.Count","ROICoordinateX..pixels.","ROICoordinateY..pixels.","ROICoordinateX..µm.","ROICoordinateY..µm.","Main.Pancreatic.Duct.X..µm.","Main.Pancreatic.Duct.Y..µm.","Distance_from_Main_Duct"
"P1-14A WTA 12-15-21 | 001 | PanCK-",0,0.225,0,0.242,0,0,0.048,0.081,0,0,0,0.077,0.119,0,0,0,0,0.07,0,0.137,0,0,0.96,-0.04,1.11677010371185,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","007","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",9466.362326,89,12888.892578125,46609.23828125,1457282,1380265,350096,1423697,1423697,74.6355953385763,"LH00339:67:2232MVLT1",99.65,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","beta_cells","P4","4a808bcd-5588-4d3c-9922-e697616af7db","0c219ae3-70c1-4b13-b75b-a721e5203cc0",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","007","INS+",89,12888.89,46609.24,5140.09,18559.8,4022.1,14545.1,4167.5
"P1-14A WTA 12-15-21 | 005 | PanCK-",0.07,0,0.16,0.173,0,0.009,0,0.134,0,0,0,0.183,0.085,0.005,0,0.005,0.095,0.011,0,0.068,0,0,0.99,-0.066,1.13650911705299,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","008","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",8321.27755,86,10135.181640625,50812.06640625,1165672,1099570,265232,1136736,1136736,75.8785707140064,"LH00339:67:2232MVLT1",99.62,99.61,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","beta_cells","P4","f706cfec-f5dc-4277-af38-349be82a81fe","cd277e99-df1a-49fb-a028-998b63306f0c",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","008","INS+",86,10135.18,50812.07,4041.91,20233.36,4022.1,14545.1,5688.3
"P1-21 WTA 12-15-21 | 005 | PanCK-",0,0.012,0,0.263,0,0,0,0.132,0,0,0,0.163,0.105,0,0.081,0,0.087,0,0,0.142,0.015,0,0.5,0.045,1.09571813419692,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","002","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",10139.502579,99,15048.904296875,15623.3955078125,1002500,947279,246468,978883,978883,73.9814774739016,"LH00339:67:2232MVLT1",99.6,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","beta_cells","P4","23be2988-aa1b-481b-a6e4-1f2a18dcaab9","3317cb62-cca8-4c00-bb04-f61728febe10",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","002","INS+",99,15048.9,15623.4,6001.5,6221.24,4022.1,14545.1,8556
"P1-21 WTA 12-15-21 | 008 | PanCK-",0,0.062,0,0.186,0,0.001,0,0.129,0.022,0,0,0.116,0,0,0.046,0,0.338,0.046,0,0.007,0,0.047,0.16,0.088,1.06450549156136,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","003","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",7626.858507,83,15570.3916015625,33649.9921875,1148468,1087823,247701,1121223,1121223,77.2296596045496,"LH00339:67:2232MVLT1",99.59,99.61,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","beta_cells","P4","2cab0dcc-6ab8-4159-96b9-56497e7f8950","ac524d2f-4c93-42b7-85bf-30374e1d5b50",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","003","INS+",83,15570.39,33649.99,6209.47,13399.43,4022.1,14545.1,2469.2
"P1-21 WTA 12-15-21 | 011 | PanCK+",0,0.126,0,0.294,0,0,0.001,0.108,0,0,0.03,0.019,0.071,0,0.058,0,0.05,0.002,0,0.242,0,0,0.47,0.051,1.08452442663517,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","004","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",10547.769527,93,20407.23046875,15520.7353515625,1241196,1169833,272669,1209626,1209626,76.6916303438183,"LH00339:67:2232MVLT1",99.59,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","beta_cells","P4","d1bb7289-848e-4f20-827e-b7c6249da29b","ad395947-75b6-49e3-8cfb-2959c0043f86",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","004","INS+",93,20407.23,15520.74,8138.4,6180.36,4022.1,14545.1,9322.7
"P1-21 WTA 12-15-21 | 012 | PanCK-",0,0.001,0,0.352,0,0,0,0.149,0,0,0,0.071,0.122,0,0.06,0,0.165,0,0,0.079,0,0.002,0.24,0.073,1.08049861413823,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","005","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",12101.915235,104,26086.013671875,15267.96875,1920661,1814394,368940,1877313,1877313,79.6659380487369,"LH00339:67:2232MVLT1",99.6,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","beta_cells","P4","38e38442-3221-4ec1-ad84-af2293d332c9","e377d1d8-0b68-4385-aa51-eeed1de72adb",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","005","INS+",104,26086.01,15267.97,10403.1,6079.71,4022.1,14545.1,10600.9
"P1-21 WTA 12-15-21 | 013 | PanCK+",0.001,0,0,0.298,0,0,0.177,0.132,0,0,0,0.023,0,0,0.072,0,0.149,0,0.115,0,0,0.033,0.65,0.031,1.08842293936288,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","006","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",10508.229087,96,5333.11865234375,41769.16015625,1372200,1296002,323405,1338962,1338962,75.0459490031651,"LH00339:67:2232MVLT1",99.6,99.61,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","beta_cells","P4","9dd3d820-9c38-4bf9-a173-515ff78a0b24","6cc06afb-0d6a-4c93-9c55-22ac5394f1df",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","006","INS+",96,5333.12,41769.16,2126.85,16632.48,4022.1,14545.1,2819.4
"P1-9A WTA 12-15-21 | 003 | PanCK-",0,0.061,0,0.104,0.07,0,0,0.023,0.004,0,0,0.252,0,0,0.109,0.113,0.086,0,0.094,0,0.058,0.026,0.65,0.03,1.09613083049616,"P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","P4-3A Ins/Syto83/PanCK/CD3134 5-16-24","008","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",8774.960424,85,30819.404296875,10849.2412109375,934540,885285,183405,913735,913735,79.2829427811383,"LH00339:67:2232MVLT1",99.6,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Head","Pancreas","islet_present","beta_cells","P4","17c22f39-d0d9-45b8-ada4-93f340639310","6462db4b-2dec-41dd-9c7d-a6f3db139b3d",35601.95703125,64950.4609375,6775,293,NA,"sample01","P4-3A","P4-3A","008","INS+",85,30819.4,10849.24,12290.78,4320.17,NA,NA,NA
"P1-9A WTA 12-15-21 | 014 | CD31-islet",0.09,0,0.083,0.219,0,0,0,0.173,0,0,0,0.037,0.232,0,0.045,0,0.001,0,0,0.1,0.02,0,0.89,0.004,1.09449099546104,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","001","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",13230.326331,120,13154.2333984375,26340.54296875,1727935,1631682,438326,1686376,1686376,73.1365547943778,"LH00339:67:2232MVLT1",99.64,99.62,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","beta_cells","P4","095150d1-2d4f-41ae-a81b-4b6b5dfc988d","c2e77487-0efe-49e2-98f6-8ab02f5c42a5",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","001","INS+",120,13154.23,26340.54,5245.91,10488.8,4022.1,14545.1,4236.9
"P2-13 Ins/Syto83/PanCK/CD3134 WTA 8-25-22 | 001 | CD31+CD34+",0.144,0,0,0.201,0,0,0.062,0.059,0.057,0,0.141,0,0.028,0,0.049,0.029,0.105,0,0,0.063,0.061,0,0.19,0.083,1.0612582548246,"P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","P4-22 Ins/Syto83/PanCK/CD3134 5-16-24","003","INS+","2204G0420","False","False","True","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",19877.090089,210,24384.302734375,28148.107421875,3756390,3549331,738706,3666341,3666341,79.1874581435206,"LH00339:67:2232MVLT1",99.6,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Tail","Pancreas","islet_present","beta_cells","P4","87e52251-78ad-47ae-bf25-9a4facf29336","9ab88fa3-9e04-4987-bbee-f46bf5e08c71",35563.140625,66750.1015625,6794,7585,NA,"sample01","P4-22","P4-22","003","INS+",210,24384.3,28148.11,9724.46,11208.58,11115.6,17700.3,6639.1
