"Sample","B cells naive","B cells memory","Plasma cells","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Monocytes","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","SlideName","ScanLabel","ROILabel.x","SegmentLabel","Origin.Instrument.ID","CD31.CD34.","PanCK.","INS.","Other","PanCK..1","CD31.Islet","CD31..CD34.","PsnCK.","QCFlags","AOISurfaceArea","AOINucleiCount","ROICoordinateX","ROICoordinateY","RawReads","AlignedReads","DeduplicatedReads","TrimmedReads","StitchedReads","SequencingSaturation","SequencingSetID","UMIQ30","RTSQ30","GeoMxNgsPipelineVersion","LOT_Human_NGS_Whole_Transcriptome_Atlas_RNA_1_0","organ_region","organ","ROI_type","AOI_target","Case","ROIID","SegmentID","ScanWidth","ScanHeight","ScanOffsetX","ScanOffsetY","ROIComments","sample_id","Slide","PancreasSection","ROILabel.y","Segment.Label","AOI.Nuclei.INS.Count","ROICoordinateX..pixels.","ROICoordinateY..pixels.","ROICoordinateX..µm.","ROICoordinateY..µm.","Main.Pancreatic.Duct.X..µm.","Main.Pancreatic.Duct.Y..µm.","Distance_from_Main_Duct"
"P1-14A WTA 12-15-21 | 007 | PanCK-",0,0.09,0,0.25,0.136,0,0,0,0.048,0,0,0.033,0.252,0,0,0.013,0.05,0.019,0,0.046,0.063,0,0.37,0.061,1.07343098531802,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","008","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",20648.366854,303,10135.181640625,50812.06640625,3229259,3040339,619017,3152149,3152149,79.6398691067016,"LH00339:67:2232MVLT1",99.57,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","duct_cells","P4","f706cfec-f5dc-4277-af38-349be82a81fe","7221775a-5278-47a6-ad23-065f05167ac9",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","008","INS+",86,10135.18,50812.07,4041.91,20233.36,4022.1,14545.1,5688.3
"P1-14A WTA 12-15-21 | 009 | PanCK-",0.049,0,0,0.166,0.002,0,0.148,0.093,0,0.001,0,0,0,0.045,0.097,0,0.183,0,0.198,0,0.017,0,0.86,-0.004,1.07927738964505,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","009","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",19852.000171,266,15823.0458984375,51560.26171875,3086237,2906189,579007,3013725,3013725,80.0767603208188,"LH00339:67:2232MVLT1",99.57,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","duct_cells","P4","39579d92-4b04-4453-91b1-48c6aa68d321","48b31ae5-9fd9-42bf-8358-0754dd992e5f",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 011 | PanCK+",0.032,0,0.035,0.124,0,0.002,0,0.069,0.084,0,0,0.224,0.21,0,0.021,0.038,0,0,0,0.139,0.023,0,0.51,0.039,1.09398694879488,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","010","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",14534.366849,213,11574.0771484375,25816.373046875,3533641,3321922,579204,3444843,3444843,82.5641902488981,"LH00339:67:2232MVLT1",99.59,99.6,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","duct_cells","P4","93e96ffa-55c2-4d6a-b536-c60c93014895","75e3f2ba-2913-4307-9e8a-ded7efe0f034",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 012 | PanCK+",0,0.044,0.086,0.327,0,0,0,0.03,0,0,0,0.083,0.224,0.024,0,0,0,0.041,0,0.092,0.048,0,0.78,0.014,1.09146517005648,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","011","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",12790.617588,165,7827.005859375,37262.046875,1960937,1840606,439499,1911998,1911998,76.1220489338837,"LH00339:67:2232MVLT1",99.61,99.57,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","duct_cells","P4","945dd8cc-bea3-41a5-a8ae-9529bc82fc29","1bab8469-34af-4939-94a6-d00c420305d2",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 013 | PanCK+",0.003,0,0.062,0.099,0,0,0,0.11,0,0,0,0.128,0.106,0,0,0.011,0.091,0.012,0,0.306,0.07,0,0.43,0.054,1.07586372356556,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","012","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",14368.265244,203,18208.591796875,17674.841796875,2444805,2301519,519725,2386917,2386917,77.4181746924531,"LH00339:67:2232MVLT1",99.61,99.57,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","duct_cells","P4","f9a09628-5091-43e5-8495-84e024518693","de7c31cb-1d07-408a-871e-e66fd5fe063b",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-14A WTA 12-15-21 | 014 | PanCK+",0,0.02,0.022,0.151,0,0,0.058,0.077,0.073,0,0.005,0,0.103,0,0.041,0,0.225,0,0,0.208,0,0.018,0.8,0.009,1.07554836634291,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","013","PanCK+","2204G0420","False","True","False","False","False","False","False","False","Low Negative Probe Count for Probe Kit Human NGS Whole Transcriptome Atlas RNA_1.0",15140.494791,201,14899.44921875,11102.9287109375,2568167,2416599,468476,2505223,2505223,80.6142434057119,"LH00339:67:2232MVLT1",99.56,99.61,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_absent","duct_cells","P4","be52a60b-3882-491e-9c80-76e6c71b3bfc","501d8359-9ffe-498b-93b9-1ca5bb5a3501",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P1-21 WTA 12-15-21 | 003 | PanCK-",0,0.123,0,0.137,0,0.078,0,0.193,0,0,0.003,0.079,0.117,0,0.031,0,0.195,0,0.038,0,0,0.006,0.37,0.061,1.06834496134362,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","002","PanCK+","2204G0420","False","True","False","False","False","False","False","False",NA,42886.767526,460,15048.904296875,15623.3955078125,4799689,4520291,1188364,4685910,4685910,73.7104535969034,"LH00339:67:2232MVLT1",99.58,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","duct_cells","P4","23be2988-aa1b-481b-a6e4-1f2a18dcaab9","7fb50df8-cec3-4bad-8e7e-e0f5fcb69b48",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","002","INS+",99,15048.9,15623.4,6001.5,6221.24,4022.1,14545.1,8556
"P1-21 WTA 12-15-21 | 009 | PanCK-",0,0.133,0,0.133,0.144,0,0.004,0.176,0,0,0.009,0.06,0.043,0,0.007,0.035,0.134,0,0,0.075,0.047,0,0.41,0.058,1.07318767845154,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","003","PanCK+","2204G0420","False","True","False","False","False","False","False","False",NA,35426.169421,456,15570.3916015625,33649.9921875,6480240,6090885,1187189,6321922,6321922,80.5087602212158,"LH00339:67:2232MVLT1",99.58,99.55,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","duct_cells","P4","2cab0dcc-6ab8-4159-96b9-56497e7f8950","29900513-989f-47a3-935e-431c4ebccaaa",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","003","INS+",83,15570.39,33649.99,6209.47,13399.43,4022.1,14545.1,2469.2
"P1-21 WTA 12-15-21 | 011 | PanCK-",0,0.022,0,0.307,0,0,0,0.174,0,0,0,0.116,0.089,0,0.042,0.04,0.105,0,0,0.086,0.019,0,0.42,0.056,1.089492077742,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","004","PanCK+","2204G0420","False","True","False","False","False","False","False","False",NA,39873.913074,487,20407.23046875,15520.7353515625,4670321,4386842,1177444,4554342,4554342,73.1596442269861,"LH00339:67:2232MVLT1",99.59,99.59,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","duct_cells","P4","d1bb7289-848e-4f20-827e-b7c6249da29b","d01c5a47-ef64-4818-bfb5-f453e7826640",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","004","INS+",93,20407.23,15520.74,8138.4,6180.36,4022.1,14545.1,9322.7
"P1-21 WTA 12-15-21 | 012 | PanCK+",0.166,0,0.063,0.302,0,0,0.081,0.043,0,0,0,0.073,0.004,0.009,0.043,0,0.048,0.025,0.041,0,0.083,0.018,0.51,0.041,1.08741465979878,"P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","P4-6A Ins/Syto83/PanCK/CD3134 5-16-24","005","PanCK+","2204G0420","False","True","False","False","False","False","False","False",NA,33805.487793,400,26086.013671875,15267.96875,5509302,5172391,1086011,5366777,5366777,79.0036948096151,"LH00339:67:2232MVLT1",99.63,99.61,"DRAGEN_GeoMx_3.8.4-96","HWTA21004","Neck","Pancreas","islet_present","duct_cells","P4","38e38442-3221-4ec1-ad84-af2293d332c9","c5e8d410-639f-40d2-98fe-d076497f6582",31777.728515625,61173.08203125,495,2181,NA,"sample01","P4-6A","P4-6A","005","INS+",104,26086.01,15267.97,10403.1,6079.71,4022.1,14545.1,10600.9
